% ARFF
% Fichero para Weka con los datos del RS de 2017 y AS de 2018
@RELATION rapidscat_ascat
@ATTRIBUTE fechaJuliana numeric
@ATTRIBUTE latitud numeric
@ATTRIBUTE longitud numeric
@ATTRIBUTE velocidad_viento numeric
@ATTRIBUTE dirección_viento numeric
@ATTRIBUTE velocidad_vientoMedia numeric
@ATTRIBUTE velocidad_vientoMax numeric
@DATA
2015003,-20.33,41.25,7.92,38.43,5.134128371628367,9.97
2015003,-20.25,41.33,7.99,40.18,5.134128371628367,9.97
2015003,-20.18,41.41,8.38,42.96,5.134128371628367,9.97
2015003,-20.12,41.51,8.51,44.75,5.134128371628367,9.97
2015003,-20.05,41.61,8.77,46.9,5.134128371628367,9.97
2015003,-19.96,41.69,8.74,50.08,5.134128371628367,9.97
2015003,-19.89,41.78,9.12,53.89,5.134128371628367,9.97
2015003,-19.82,41.86,9.51,57.39,5.134128371628367,9.97
2015003,-19.75,41.98,9.69,59.94,5.134128371628367,9.97
2015003,-20.97,40.24,9.26,17.62,5.134128371628367,9.97
2015003,-20.89,40.34,9.26,19.4,5.134128371628367,9.97
2015003,-20.83,40.44,9.35,21.44,5.134128371628367,9.97
